Vermicella annulata	Elapidae, Serpentes (snakes)	Vermicella	annulata	GRAY	1841	Eastern Bandy-bandy, Bandy Bandy	Yes	No
Vermicella intermedia	Elapidae, Serpentes (snakes)	Vermicella	intermedia	KEOGH & SMITH	1996		Yes	No
Vermicella multifasciata	Elapidae, Serpentes (snakes)	Vermicella	multifasciata	LONGMAN	1915	Northern Bandy Bandy	Yes	No
Vermicella snelli	Elapidae, Serpentes (snakes)	Vermicella	snelli	STORR	1968		Yes	No
Vermicella vermiformis	Elapidae, Serpentes (snakes)	Vermicella	vermiformis	KEOGH & SMITH	1996		Yes	No
Montivipera albizona	Viperidae, Viperinae, Serpentes (snakes)	Montivipera	albizona	NILSON, ANDREN & FLRDH	1990		Yes	Yes
Vipera ammodytes	Viperidae, Viperinae, Serpentes (snakes)	Vipera	ammodytes	LINNAEUS	1758	Nose-horned Viper	Yes	Yes
Vipera aspis	Viperidae, Viperinae, Serpentes (snakes)	Vipera	aspis	LINNAEUS	1758	Asp Viper	Yes	Yes
Vipera barani	Viperidae, Viperinae, Serpentes (snakes)	Vipera	barani	BHME & JOGER	1983	Turkish Viper	Yes	Yes
Vipera berus	Viperidae, Viperinae, Serpentes (snakes)	Vipera	berus	LINNAEUS	1758	Adder, Northern Viper	Yes	Yes
Montivipera bornmuelleri	Viperidae, Viperinae, Serpentes (snakes)	Montivipera	bornmuelleri	WERNER	1898	Lebanon Viper	Yes	Yes
Vipera darevskii	Viperidae, Viperinae, Serpentes (snakes)	Vipera	darevskii	VEDMEDERJA, ORLOV & TUNIYEV	1986	Darevsky's Viper	Yes	Yes
Vipera dinniki	Viperidae, Viperinae, Serpentes (snakes)	Vipera	dinniki	NIKOLSKY	1913	Dinnik's Viper	Yes	Yes
Vipera eriwanensis	Viperidae, Viperinae, Serpentes (snakes)	Vipera	eriwanensis	REUSS	1933		Yes	Yes
Vipera kaznakovi	Viperidae, Viperinae, Serpentes (snakes)	Vipera	kaznakovi	NIKOLSKY	1909	Caucasus Viper	Yes	Yes
Vipera latastei	Viperidae, Viperinae, Serpentes (snakes)	Vipera	latastei	BOSCA	1878	Latastes Viper	Yes	Yes
Montivipera latifii	Viperidae, Viperinae, Serpentes (snakes)	Montivipera	latifii	MERTENS, DAREWSKY & KLEMMER	1967	Latifi's Viper	Yes	Yes
Vipera lotievi	Viperidae, Viperinae, Serpentes (snakes)	Vipera	lotievi	NILSON, TUNIYEV, ORLOV, HOGGREN & ANDREN	1995		Yes	Yes
Vipera monticola	Viperidae, Viperinae, Serpentes (snakes)	Vipera	monticola	SAINT GIRONS	1953	Mountain Viper	Yes	Yes
Daboia palaestinae	Viperidae, Viperinae, Serpentes (snakes)	Daboia	palaestinae	WERNER	1938	Palestine Viper	Yes	Yes
Vipera pontica	Viperidae, Viperinae, Serpentes (snakes)	Vipera	pontica	BILLING, NILSON & SATTLER	1990	Black Sea Viper	Yes	Yes
Montivipera raddei	Viperidae, Viperinae, Serpentes (snakes)	Montivipera	raddei	BOETTGER	1890	Caucasus Viper	Yes	Yes
Vipera renardi	Viperidae, Viperinae, Serpentes (snakes)	Vipera	renardi	CHRISTOPH	1861	Steppe Viper	Yes	Yes
Vipera seoanei	Viperidae, Viperinae, Serpentes (snakes)	Vipera	seoanei	LATASTE	1879	Portugese Viper	Yes	Yes
Vipera transcaucasiana	Viperidae, Viperinae, Serpentes (snakes)	Vipera	transcaucasiana	BOULENGER	1913		Yes	Yes
Vipera ursinii	Viperidae, Viperinae, Serpentes (snakes)	Vipera	ursinii	BONAPARTE	1835	Meadow Viper, Orsinis Viper	Yes	Yes
Montivipera wagneri	Viperidae, Viperinae, Serpentes (snakes)	Montivipera	wagneri	NILSON & ANDRN	1984	Wagner's Viper	Yes	Yes
Montivipera xanthina	Viperidae, Viperinae, Serpentes (snakes)	Montivipera	xanthina	GRAY	1849	Coastal Viper, Ottoman Viper	Yes	Yes
Virginia striatula	Natricidae, Colubroidea, Serpentes (snakes)	Virginia	striatula	LINNAEUS	1766	Rough Earth Snake	No	No
Virginia valeriae	Natricidae, Colubroidea, Serpentes (snakes)	Virginia	valeriae	BAIRD & GIRARD	1853	Smooth Earth Snake elega	No	No
Xenodon merremi	Dipsadidae, Colubroidea, Serpentes (snakes)	Xenodon	merremi	WAGLER	1824	Wagler's Snake	No	No
Walterinnesia aegyptia	Elapidae, Serpentes (snakes)	Walterinnesia	aegyptia	LATASTE	1887	Desert Cobra	Yes	No
Xenelaphis ellipsifer	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Xenelaphis	ellipsifer	BOULENGER	1900	Ocellated Brown Snake	No	No
Xenelaphis hexagonotus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Xenelaphis	hexagonotus	CANTOR	1847	Malaysian Brown Snake	No	No
Xenocalamus bicolor	Lamprophiidae, Aparallactinae, Serpentes (snakes)	Xenocalamus	bicolor	GNTHER	1868	Slender Quill-snouted Snake, Bicoloured Quill-snouted Snake, Waterberg Quill-snouted Snake, Striped Quill-snouted Snake	No	No
Xenocalamus mechowii	Lamprophiidae, Aparallactinae, Serpentes (snakes)	Xenocalamus	mechowii	PETERS	1881	Elongate Quill-snouted Snake	No	No
Xenocalamus michellii	Lamprophiidae, Aparallactinae, Serpentes (snakes)	Xenocalamus	michellii	MLLER	1911	Michell's Quill-snouted Snake	No	No
Xenocalamus sabiensis	Lamprophiidae, Aparallactinae, Serpentes (snakes)	Xenocalamus	sabiensis	BROADLEY	1971	Sabi Quill-snouted Snake	No	No
Xenocalamus transvaalensis	Lamprophiidae, Aparallactinae, Serpentes (snakes)	Xenocalamus	transvaalensis	METHUEN	1919	Transvaal Quill-snouted Snake	No	No
Xenochrophis asperrimus	Natricidae, Colubroidea, Serpentes (snakes)	Xenochrophis	asperrimus	BOULENGER	1891	Boulenger's Keelback	No	No
Xenochrophis bellula	Natricidae, Colubroidea, Serpentes (snakes)	Xenochrophis	bellula	STOLICZKA	1871		No	No
Xenochrophis cerasogaster	Natricidae, Colubroidea, Serpentes (snakes)	Xenochrophis	cerasogaster	CANTOR	1839	Painted Keelback	No	No
Xenochrophis flavipunctatus	Natricidae, Colubroidea, Serpentes (snakes)	Xenochrophis	flavipunctatus	HALLOWELL	1860	Yellow-Spotted Keelback	No	No
Xenochrophis maculatus	Natricidae, Colubroidea, Serpentes (snakes)	Xenochrophis	maculatus	EDELING	1864	Spotted Keelback	No	No
Xenochrophis piscator	Natricidae, Colubroidea, Serpentes (snakes)	Xenochrophis	piscator	SCHNEIDER	1799	Asiatic Water Snakes, Checkered Keelback	No	No
Xenochrophis punctulatus	Natricidae, Colubroidea, Serpentes (snakes)	Xenochrophis	punctulatus	GNTHER	1858		No	No
Xenochrophis sanctijohannis	Natricidae, Colubroidea, Serpentes (snakes)	Xenochrophis	sanctijohannis	BOULENGER	1890	St. John's Keelback	No	No
Xenochrophis trianguligerus	Natricidae, Colubroidea, Serpentes (snakes)	Xenochrophis	trianguligerus	BOIE	1827	Triangle Keelback	No	No
Xenochrophis vittatus	Natricidae, Colubroidea, Serpentes (snakes)	Xenochrophis	vittatus	LINNAEUS	1758	Banded Keelback, Striped Keelback	No	No
Xenodermus javanicus	Xenodermatidae, Serpentes (snakes)	Xenodermus	javanicus	REINHARDT	1836	Xenodermine Snake, Java Tubercle Snake, Dragon snake	No	No
Xenodon guentheri	Dipsadidae, Colubroidea, Serpentes (snakes)	Xenodon	guentheri	BOULENGER	1894	Gnther's False Fer-de-lance	No	No
Xenodon neuwiedii	Dipsadidae, Colubroidea, Serpentes (snakes)	Xenodon	neuwiedii	GNTHER	1863	Neuwied's False Fer-de-lance	No	No
Xenodon rabdocephalus	Dipsadidae, Colubroidea, Serpentes (snakes)	Xenodon	rabdocephalus	WIED	1824	False Fer-de-lance	No	No
Xenodon severus	Dipsadidae, Colubroidea, Serpentes (snakes)	Xenodon	severus	LINNAEUS	1758	Amazon False Fer-de-lance	No	No
Thalesius viridis	Dipsadidae, Colubroidea, Serpentes (snakes)	Thalesius	viridis	WERNER	1924		No	No
Xenopeltis hainanensis	Xenopeltidae, Henophidia, Pythonoidea, Serpentes (snakes)	Xenopeltis	hainanensis	HU & ZHAO	1972		No	No
Xenopeltis unicolor	Xenopeltidae, Henophidia, Pythonoidea, Serpentes (snakes)	Xenopeltis	unicolor	REINWARDT	1827	Sunbeam Snake	No	No
Xenophidion acanthognathus	Xenophidiidae, Henophidia, Serpentes (snakes)	Xenophidion	acanthognathus	GNTHER & MANTHEY	1995	Bornean spine-jawed snake	No	No
Xenophidion schaeferi	Xenophidiidae, Henophidia, Serpentes (snakes)	Xenophidion	schaeferi	GNTHER & MANTHEY	1995	Malayan Spinejaw Snake	No	No
Xenopholis scalaris	Dipsadidae, Colubroidea, Serpentes (snakes)	Xenopholis	scalaris	WUCHERER	1861	Wucherer's Ground Snake	No	No
Xenopholis undulatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Xenopholis	undulatus	JENSEN	1900	Jensen's Ground Snake	No	No
Xenotyphlops grandidieri	Xenotyphlopidae, Typhlopoidea, Serpentes (snakes)	Xenotyphlops	grandidieri	MOCQUARD	1905		No	No
Philodryas argentea	Dipsadidae, Colubroidea, Serpentes (snakes)	Philodryas	argentea	DAUDIN	1803	Striped Sharpnose Snake	Yes	No
Xylophis perroteti	Xenodermatidae, Serpentes (snakes)	Xylophis	perroteti	DUMRIL & BIBRON	1854	Perrotet's Mountain Snake	No	No
Xylophis stenorhynchus	Xenodermatidae, Serpentes (snakes)	Xylophis	stenorhynchus	GNTHER	1875	Gnther's Mountain Snake	No	No
Cacophis churchilli	Elapidae, Serpentes (snakes)	Cacophis	churchilli	WELLS & WELLINGTON	1985		Yes	No
Heteroliodon lava	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Heteroliodon	lava	NUSSBAUM & RAXWORTHY	2000		No	No
Boiga schultzei	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Boiga	schultzei	TAYLOR	1923	Schultz's Blunt-headedTree Sna	Yes	No
Platyceps scortecci	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Platyceps	scortecci	LANZA 	1963		No	No
Pseudalsophis hoodensis	Dipsadidae, Colubroidea, Serpentes (snakes)	Pseudalsophis	hoodensis	VAN DENBURGH	1912		No	No
Afrotyphlops nigrocandidus	Typhlopidae (Afrotyphlopinae), Typhlopoidea, Serpentes (snakes)	Afrotyphlops	nigrocandidus	BROADLEY & WALLACH	2000		No	No
Lioheterophis iheringi	Dipsadidae, Colubroidea, Serpentes (snakes)	Lioheterophis	iheringi	AMARAL	1935	Ihering's Snake	No	No
Simalia clastolepis	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Simalia	clastolepis	HARVEY, BARKER, AMMERMAN & CHIPPINDALE	2000	Seram-Python, Goldpython	No	No
Simalia nauta	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Simalia	nauta	HARVEY, BARKER, AMMERMAN & CHIPPINDALE	2000	Tanimbar-Python	No	No
Simalia tracyae	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Simalia	tracyae	HARVEY, BARKER, AMMERMAN & CHIPPINDALE	2000	Halmahera-Python	No	No
Simalia kinghorni	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Simalia	kinghorni	STULL	1933	Kinghorns Python, Australischer Amethystpython	No	No
Protobothrops sieversorum	Viperidae, Crotalinae, Serpentes (snakes)	Protobothrops	sieversorum	ZIEGLER, HERRMANN, DAVID, ORLOV & PAUWELS	2000	Three horned-scaled pitviper	Yes	Yes
Leptotyphlops jacobseni	Leptotyphlopidae, Leptotyphlopinae, Leptotyphlopini, Typhlopoidea, Serpentes (snakes)	Leptotyphlops	jacobseni	BROADLEY & BROADLEY	1999		No	No
Liopholidophis sexlineatus	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Liopholidophis	sexlineatus	GNTHER	1882	Six-lined Water Snake	No	No
Hydrophis laboutei	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	laboutei	RASMUSSEN & INEICH	2000		Yes	Yes
Hydrophis sibauensis	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	sibauensis	RASMUSSEN, AULIYA & BHME	2001	Kalimantan Sea Sna	Yes	Yes
Thamnodynastes corocoroensis	Dipsadidae, Colubroidea, Serpentes (snakes)	Thamnodynastes	corocoroensis	GORZULA & AYARZAGENA	1996		No	No
Synophis plectovertebralis	Dipsadidae, Colubroidea, Serpentes (snakes)	Synophis	plectovertebralis	SHEIL & GRANT	2001		No	No
Bothrocophias myersi	Viperidae, Crotalinae, Serpentes (snakes)	Bothrocophias	myersi	GUTBERLET & CAMPBELL	2001		Yes	Yes
Bothrops muriciensis	Viperidae, Crotalinae, Serpentes (snakes)	Bothrops	muriciensis	FERRAREZZI & FREIRE	2001		Yes	Yes
Bothriechis thalassinus	Viperidae, Crotalinae, Serpentes (snakes)	Bothriechis	thalassinus	CAMPBELL & SMITH	2000	Meerblaue Palmenlanzenotter	Yes	Yes
Rhinoleptus parkeri	Leptotyphlopidae, Epictinae, Rhinoleptini, Typhlopoidea, Serpentes (snakes)	Rhinoleptus	parkeri	BROADLEY	1999	Parkers worm snake	No	No
Hemirhagerrhis hildebrandtii	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Hemirhagerrhis	hildebrandtii	PETERS	1878	Kenyan Bark Snake, Northern bark snake, Eastern Bark Snake	No	No
Thamnodynastes marahuaquensis	Dipsadidae, Colubroidea, Serpentes (snakes)	Thamnodynastes	marahuaquensis	GORZULA & AYARZAGENA	1996		No	No
Hologerrhum dermali	Natricidae, Colubroidea, Serpentes (snakes)	Hologerrhum	dermali	BROWN, LEVITON, FERNER & SISON	2001		No	No
Hydrophis hardwickii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	hardwickii	GRAY	1834	Hardwickes spine-bellied seasnake	Yes	Yes
Elapsoidea trapei	Elapidae, Serpentes (snakes)	Elapsoidea	trapei	MANE	1999		Yes	No
Epictia alfredschmidti	Leptotyphlopidae, Epictinae, Epictini, Typhlopoidea, Serpentes (snakes)	Epictia	alfredschmidti	LEHR, WALLACH, KHLER & AGUILAR	2002		No	No
Omoadiphas aurula	Dipsadidae, Colubroidea, Serpentes (snakes)	Omoadiphas	aurula	KHLER, MCCRANIE & WILSON	2001		No	No
Apostolepis breviceps	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	breviceps	HARVEY, GONZALES & SCROCCHI	2001		No	No
Platyceps largeni	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Platyceps	largeni	SCHTTI	2001	Dahlak Racer	No	No
Tropidophis morenoi	Tropidophiidae, Henophidia, Serpentes (snakes)	Tropidophis	morenoi	HEDGES, GARRIDO &  DAZ	2001		No	No
Amerotyphlops stadelmani	Typhlopidae (Typhlopinae), Typhlopoidea, Serpentes (snakes)	Amerotyphlops	stadelmani	SCHMIDT	1936	Stadelman's Wurm Snake	No	No
Trimeresurus vogeli	Viperidae, Crotalinae, Serpentes (snakes)	Trimeresurus	vogeli	DAVID, VIDAL & PAUWELS	2001	Vogels Pit Viper	Yes	Yes
Vipera orlovi	Viperidae, Viperinae, Serpentes (snakes)	Vipera	orlovi	TUNIYEV & OSTROVSKIKH	2001		Yes	Yes
Vipera magnifica	Viperidae, Viperinae, Serpentes (snakes)	Vipera	magnifica	TUNIYEV & OSTROVSKIKH	2001		Yes	Yes
Atheris subocularis	Viperidae, Viperinae, Serpentes (snakes)	Atheris	subocularis	FISCHER	1888		Yes	Yes
Geophis juliai	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	juliai	PREZ-HIGAREDA, SMITH & LPEZ-LUNA	2001		No	No
Drymarchon caudomaculatus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Drymarchon	caudomaculatus	WSTER , YRAUSQUIN & MIJARES-URRUTIA	2001		No	No
Python brongersmai	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Python	brongersmai	STULL	1938	Red Blood Python, Malaysian Blood Python, Sumatran Blood Python	No	No
Python breitensteini	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Python	breitensteini	STEINDACHNER	1881	Borneo-Blutpython	No	No
Thelotornis usambaricus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Thelotornis	usambaricus	BROADLEY	2001	Usambara vine snake	Yes	No
Lycodon fausti	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Lycodon	fausti	GAULKE	2002	Fausts Wolf Snake	No	No
Phalotris cuyanus	Dipsadidae, Colubroidea, Serpentes (snakes)	Phalotris	cuyanus	CEI	1984		No	No
Trimeresurus gumprechti	Viperidae, Crotalinae, Serpentes (snakes)	Trimeresurus	gumprechti	DAVID, VOGEL, PAUWELS & VIDAL	2002	Gumprechts green pitviper	Yes	Yes
Tropidophis hendersoni	Tropidophiidae, Henophidia, Serpentes (snakes)	Tropidophis	hendersoni	HEDGES & GARRIDO	2002		No	No
Letheobia episcopus	Typhlopidae (Afrotyphlopinae), Typhlopoidea, Serpentes (snakes)	Letheobia	episcopus	FRANZEN & WALLACH	2002		No	No
Lycodon zawi	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Lycodon	zawi	SLOWINSKI, PAWAR, WIN, THIN, GYI, OO & TUN	2001	Zaw's Wolf Snake	No	No
Bothrops alcatraz	Viperidae, Crotalinae, Serpentes (snakes)	Bothrops	alcatraz	MARQUES, MARTINS & SAZIMA	2002		Yes	Yes
Atheris hirsuta	Viperidae, Viperinae, Serpentes (snakes)	Atheris	hirsuta	ERNST & RDEL	2002		Yes	Yes
Eunectes beniensis	Boidae (Boinae), Henophidia, Serpentes (snakes)	Eunectes	beniensis	DIRKSEN	2002		No	Yes
Tantilla robusta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Tantilla	robusta	CANSECO-MRQUEZ, MENDELSOHN & GUTIRREZ-MAYN	2002	Pueblan Centipede Snake	No	No
Lycodon cardamomensis	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Lycodon	cardamomensis	DALTRY & WSTER	2002		No	No
Micrurus pacaraimae	Elapidae, Serpentes (snakes)	Micrurus	pacaraimae	MORATO DE CARVALHO	2002		Yes	No
Atractus taphorni	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	taphorni	SCHARGEL & GARCA-PREZ	2002		No	No
Atractus turikensis	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	turikensis	BARROS	2000		No	No
Pantherophis slowinskii	Colubridae, Colubrinae, Lampropeltini, Colubroidea, Serpentes (snakes)	Pantherophis	slowinskii	BURBRINK	2002	Slowinski s Cornsnake	No	No
Drymarchon melanurus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Drymarchon	melanurus	DUMRIL, BIBRON  & DUMRIL	1854	Blacktail Cribo	No	No
Oligodon jintakunei	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Oligodon	jintakunei	PAUWELS, WALLACH, DAVID, CHANHOME	2002		No	No
Argyrophis roxaneae	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Argyrophis	roxaneae	WALLACH	2001		No	No
Boiga tanahjampeana	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Boiga	tanahjampeana	ORLOV & RYABOV	2002	Tanahjampea Cat Sna	Yes	No
Tantilla boipiranga	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Tantilla	boipiranga	SAWAYA & SAZIMA	2003		No	No
Amerotyphlops amoipira	Typhlopidae (Typhlopinae), Typhlopoidea, Serpentes (snakes)	Amerotyphlops	amoipira	RODRIGUES & JUNC	2002		No	No
Thamnodynastes almae	Dipsadidae, Colubroidea, Serpentes (snakes)	Thamnodynastes	almae	FRANCO & FERREIRA	2003		No	No
Naja nubiae	Elapidae, Serpentes (snakes)	Naja	nubiae	WSTER & BROADLEY	2003	Nubian Spitting Cobra	Yes	No
Xerotyphlops etheridgei	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Xerotyphlops	etheridgei	WALLACH	2002		No	No
Macrocalamus gentingensis	Colubridae, Calamariinae, Colubroidea, Serpentes (snakes)	Macrocalamus	gentingensis	YAAKOB & LIM	2002		No	No
Atractus darienensis	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	darienensis	MYERS	2003		No	No
Atractus depressiocellus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	depressiocellus	MYERS	2003		No	No
Atractus hostilitractus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	hostilitractus	MYERS	2003		No	No
Atractus imperfectus	Dipsadidae, Colubroidea, Serpentes (snakes)	Atractus	imperfectus	MYERS	2003		No	No
Geophis bellus	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	bellus	MYERS	2003		No	No
Boiga bengkuluensis	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Boiga	bengkuluensis	ORLOV	2003		Yes	No
Gongylosoma mukutense	Colubridae, incertae sedis, Colubroidea, Serpentes (snakes)	Gongylosoma	mukutense	GRISMER, DAS & LEONG	2003	Mukut Smooth Snake	No	No
Geophis juarezi	Dipsadidae, Colubroidea, Serpentes (snakes)	Geophis	juarezi	NIETO-MONTES DE OCA	2003		No	No
Agkistrodon taylori	Viperidae, Crotalinae, Serpentes (snakes)	Agkistrodon	taylori	BURGER & ROBERTSON	1951	Mexican Moccasin	Yes	Yes
Clelia hussami	Dipsadidae, Colubroidea, Serpentes (snakes)	Clelia	hussami	MORATO, FRANCO & SANCHES	2003		No	No
Sibon linearis	Dipsadidae, Colubroidea, Serpentes (snakes)	Sibon	linearis	PEREZ-HIGAREDA, LOPEZ-LUNA & SMITH	2002		No	No
Conophis morai	Dipsadidae, Colubroidea, Serpentes (snakes)	Conophis	morai	PEREZ-HIGAREDA, LOPEZ-LUNA & SMITH	2002		No	No
Thamnodynastes longicaudus	Dipsadidae, Colubroidea, Serpentes (snakes)	Thamnodynastes	longicaudus	FRANCO, FERREIRA, MARQUES & SAZIMA	2003		No	No
Dipsas nicholsi	Dipsadidae, Colubroidea, Serpentes (snakes)	Dipsas	nicholsi	DUNN	1933		No	No
Dipsas andiana	Dipsadidae, Colubroidea, Serpentes (snakes)	Dipsas	andiana	BOULENGER	1896		No	No
Crotalus tancitarensis	Viperidae, Crotalinae, Serpentes (snakes)	Crotalus	tancitarensis	ALVARADO-DAZ & CAMPBELL	2004		Yes	Yes
Echis omanensis	Viperidae, Viperinae, Serpentes (snakes)	Echis	omanensis	BABOCSAY	2004	Oman saw-scaled viper	Yes	Yes
Hebius kerinciense	Natricidae, Colubroidea, Serpentes (snakes)	Hebius	kerinciense	DAVID & DAS	2003		No	No
Hierophis andreanus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Hierophis	andreanus	WERNER	1917	Andreas Racer	No	No
Eirenis coronelloides	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Eirenis	coronelloides	JAN	1862		No	No
Tantilla hendersoni	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Tantilla	hendersoni	STAFFORD	2004	Peten Centipede Snake	No	No
Dendrelaphis hollinrakei	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Dendrelaphis	hollinrakei	LAZELL	2002		No	No
Pseudoboodon sandfordorum	Lamprophiidae, Lamprophiinae, Serpentes (snakes)	Pseudoboodon	sandfordorum	SPAWLS	2004	Sandfords Ethiopian (mountain) snake	No	No
Drymoluber apurimacensis	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Drymoluber	apurimacensis	LEHR, CARRILLO & HOCKING	2004	Apurmac Woodland Racer	No	No
Calamaria ingeri	Colubridae, Calamariinae, Colubroidea, Serpentes (snakes)	Calamaria	ingeri	GRISMER, KAISER & YAAKOB	2004		No	No
Ramphotyphlops mansuetus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Ramphotyphlops	mansuetus	BARBOUR	1921	Small-headed Blind Snake	No	No
Trimeresurus insularis	Viperidae, Crotalinae, Serpentes (snakes)	Trimeresurus	insularis	KRAMER	1977	White-lipped island pitviper	Yes	Yes
Trimeresurus truongsonensis	Viperidae, Crotalinae, Serpentes (snakes)	Trimeresurus	truongsonensis	ORLOV, RYABOV, THANH & H CUC	2004	Quang Binh pitviper	Yes	Yes
Tomodon orestes	Dipsadidae, Colubroidea, Serpentes (snakes)	Tomodon	orestes	HARVEY & MUOZ	2004		No	No
Trimeresurus venustus	Viperidae, Crotalinae, Serpentes (snakes)	Trimeresurus	venustus	VOGEL	1991	Beautiful pitviper	Yes	Yes
Indotyphlops lazelli	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Indotyphlops	lazelli	WALLACH & PAUWELS	2004		No	No
Micrurus tamaulipensis	Elapidae, Serpentes (snakes)	Micrurus	tamaulipensis	LAVIN-MURCIO & DIXON	2004		Yes	No
Trimeresurus nebularis	Viperidae, Crotalinae, Serpentes (snakes)	Trimeresurus	nebularis	VOGEL, DAVID & PAUWELS	2004	Cameron Highlands pitviper	Yes	Yes
Trimeresurus fucatus	Viperidae, Crotalinae, Serpentes (snakes)	Trimeresurus	fucatus	VOGEL, DAVID & PAUWELS	2004	Siamese Peninsula pitviper	Yes	Yes
Anilios bicolor	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	bicolor	PETERS	1858		No	No
Trimeresurus barati	Viperidae, Crotalinae, Serpentes (snakes)	Trimeresurus	barati	REGENASS & KRAMER	1981	Barat Bamboo pitvip	Yes	Yes
Trimeresurus popeiorum	Viperidae, Crotalinae, Serpentes (snakes)	Trimeresurus	popeiorum	SMITH	1937	Popes Tree Viper, Pope's Bamboo Pit Viper	Yes	Yes
Boiga bourreti	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Boiga	bourreti	TILLACK, ZIEGLER & KHAC QUYET	2004	Bourrets Cat Snake	Yes	No
Oligodon booliati	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Oligodon	booliati	LEONG & GRISMER	2004		No	No
Trimeresurus septentrionalis	Viperidae, Crotalinae, Serpentes (snakes)	Trimeresurus	septentrionalis	KRAMER	1977	Nepal pitviper	Yes	Yes
Acanthophis laevis	Elapidae, Serpentes (snakes)	Acanthophis	laevis	MACLEAY	1878		Yes	No
Acanthophis rugosus	Elapidae, Serpentes (snakes)	Acanthophis	rugosus	LOVERIDGE	1948	Rauhnackige Todesotter	Yes	No
Dipsas pakaraima	Dipsadidae, Colubroidea, Serpentes (snakes)	Dipsas	pakaraima	MACCULLOCH & LATHROP	2004		No	No
Naja anchietae	Elapidae, Serpentes (snakes)	Naja	anchietae	BOCAGE	1879	Anchieta's Cobra	Yes	No
Psammophis zambiensis	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	zambiensis	HUGHES	2002	Zambian Whip Snake	No	No
Psammophis leopardinus	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	leopardinus	BOCAGE	1887	Leopard Grass Snake, Leopard Sand Snake	No	No
Apostolepis albicollaris	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	albicollaris	DE LEMA	2002		No	No
Phalotris labiomaculatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Phalotris	labiomaculatus	DE LEMA	2002		No	No
Xyelodontophis uluguruensis	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Xyelodontophis	uluguruensis	BROADLEY & WALLACH	2002	Dagger-tooth Vine Snake	No	No
Micrurus camilae	Elapidae, Serpentes (snakes)	Micrurus	camilae	RENJIFO & LUNDBERG	2003		Yes	No
