Antaresia childreni	Australia
Antaresia maculosa	Australia
Antaresia maculosa	Guinea
Antaresia maculosa	Papua New Guinea
Antaresia perthensis	Australia
Antaresia stimsoni	Australia
Caraiba andreae	Cuba
Hypsirhynchus parvifrons	Haiti
Hypsirhynchus parvifrons	Dominican Republic
Hypsirhynchus parvifrons	Bahamas
Hypsirhynchus parvifrons	Dominica
Aparallactus capensis	Democratic Republic of the Congo
Aparallactus capensis	South Africa
Aparallactus capensis	Tanzania
Aparallactus capensis	Kenya
Aparallactus capensis	Mozambique
Aparallactus capensis	Angola
Aparallactus capensis	Malawi
Aparallactus capensis	Zambia
Aparallactus capensis	Zimbabwe
Aparallactus capensis	Republic of the Congo
Aparallactus capensis	Namibia
Aparallactus capensis	Botswana
Aparallactus capensis	Swaziland
Aparallactus guentheri	Tanzania
Aparallactus guentheri	Kenya
Aparallactus guentheri	Mozambique
Aparallactus guentheri	Angola
Aparallactus guentheri	Malawi
Aparallactus guentheri	Zambia
Aparallactus guentheri	Zimbabwe
Aparallactus jacksonii	Ethiopia
Aparallactus jacksonii	Egypt
Aparallactus jacksonii	Tanzania
Aparallactus jacksonii	Kenya
Aparallactus jacksonii	Sudan
Aparallactus jacksonii	Uganda
Aparallactus jacksonii	Somalia
Aparallactus lineatus	Ghana
Aparallactus lineatus	Cameroon
Aparallactus lineatus	Guinea
Aparallactus lineatus	Liberia
Aparallactus lunulatus	Nigeria
Aparallactus lunulatus	Ethiopia
Aparallactus lunulatus	Democratic Republic of the Congo
Aparallactus lunulatus	South Africa
Aparallactus lunulatus	Tanzania
Aparallactus lunulatus	Uganda
Aparallactus lunulatus	Ghana
Aparallactus lunulatus	Mozambique
Aparallactus lunulatus	Cameroon
Aparallactus lunulatus	Ivory Coast
Aparallactus lunulatus	Niger
Aparallactus lunulatus	Burkina Faso
Aparallactus lunulatus	Zambia
Aparallactus lunulatus	Zimbabwe
Aparallactus lunulatus	Somalia
Aparallactus lunulatus	Togo
Aparallactus lunulatus	Eritrea
Aparallactus lunulatus	Central African Republic
Aparallactus lunulatus	Republic of the Congo
Aparallactus lunulatus	Botswana
Aparallactus lunulatus	Swaziland
Aparallactus modestus	Nigeria
Aparallactus modestus	Democratic Republic of the Congo
Aparallactus modestus	Uganda
Aparallactus modestus	Ghana
Aparallactus modestus	Cameroon
Aparallactus modestus	Ivory Coast
Aparallactus modestus	Niger
Aparallactus modestus	Guinea
Aparallactus modestus	Benin
Aparallactus modestus	Togo
Aparallactus modestus	Sierra Leone
Aparallactus modestus	Central African Republic
Aparallactus modestus	Republic of the Congo
Aparallactus modestus	Liberia
Aparallactus modestus	Gabon
Aparallactus moeruensis	Democratic Republic of the Congo
Aparallactus moeruensis	Republic of the Congo
Aparallactus niger	Ivory Coast
Aparallactus niger	Guinea
Aparallactus niger	Sierra Leone
Aparallactus niger	Liberia
Aparallactus nigriceps	Mozambique
Aparallactus turneri	Kenya
Aparallactus turneri	Mali
Aparallactus werneri	Tanzania
Aplopeltura boa	Indonesia
Aplopeltura boa	Thailand
Aplopeltura boa	Myanmar
Aplopeltura boa	Malaysia
Aplopeltura boa	Brunei
Liasis papuana	Indonesia
Liasis papuana	Guinea
Apostolepis ambiniger	Brazil
Apostolepis ambiniger	Bolivia
Apostolepis ambiniger	Paraguay
Apostolepis arenaria	Brazil
Apostolepis assimilis	Brazil
Apostolepis assimilis	Argentina
Apostolepis assimilis	Paraguay
Apostolepis cearensis	Brazil
Apostolepis dimidiata	Brazil
Apostolepis dimidiata	Argentina
Apostolepis dimidiata	Paraguay
Apostolepis dorbignyi	Brazil
Apostolepis dorbignyi	Peru
Apostolepis dorbignyi	Chile
Apostolepis dorbignyi	Bolivia
Apostolepis flavotorquata	Brazil
Apostolepis gaboi	Brazil
Apostolepis goiasensis	Brazil
Apostolepis intermedia	Brazil
Apostolepis intermedia	Paraguay
Apostolepis longicaudata	Brazil
Apostolepis multicincta	Bolivia
Apostolepis niceforoi	Brazil
Apostolepis niceforoi	Colombia
Apostolepis nigroterminata	Brazil
Apostolepis nigroterminata	Peru
Apostolepis nigroterminata	Bolivia
Apostolepis phillipsae	Bolivia
Apostolepis polylepis	Brazil
Apostolepis nigrolineata	Brazil
Apostolepis nigrolineata	Bolivia
Apostolepis nigrolineata	Guyana
Apostolepis quirogai	Brazil
Apostolepis quirogai	Argentina
Apostolepis tenuis	Bolivia
Apostolepis vittata	Brazil
Apostolepis vittata	Bolivia
Argyrogena fasciolata	India
Argyrogena fasciolata	Pakistan
Argyrogena fasciolata	Bangladesh
Argyrogena fasciolata	Nepal
Argyrogena fasciolata	Sri Lanka
Arizona elegans	USA
Arizona elegans	Mexico
Arrhyton ainictum	Cuba
Hypsirhynchus callilaemus	Jamaica
Arrhyton dolichura	Cuba
Magliophis exiguum	Puerto Rico
Magliophis exiguum	British Virgin Islands
Hypsirhynchus funereus	Jamaica
Hypsirhynchus polylepis	Jamaica
Arrhyton procerum	Cuba
Arrhyton redimitum	Cuba
Arrhyton supernum	Cuba
Arrhyton taeniatum	Cuba
Arrhyton tanyplectum	Cuba
Arrhyton vittatum	Cuba
Aspidelaps lubricus	South Africa
Aspidelaps lubricus	Angola
Aspidelaps lubricus	Namibia
Aspidelaps scutatus	South Africa
Aspidelaps scutatus	Mozambique
Aspidelaps scutatus	Zimbabwe
Aspidelaps scutatus	Namibia
Aspidelaps scutatus	Botswana
Aspidelaps scutatus	Swaziland
Aspidites melanocephalus	Australia
Aspidites ramsayi	Australia
Aspidomorphus lineaticollis	Guinea
Aspidomorphus lineaticollis	Papua New Guinea
Aspidomorphus muelleri	Indonesia
Aspidomorphus muelleri	Guinea
Aspidomorphus muelleri	Papua New Guinea
Aspidomorphus schlegelii	Indonesia
Aspidomorphus schlegelii	Guinea
Aspidomorphus schlegelii	Papua New Guinea
Aspidura brachyorrhos	Sri Lanka
Aspidura copei	Sri Lanka
Aspidura deraniyagalae	Sri Lanka
Aspidura drummondhayi	Sri Lanka
Aspidura guentheri	Sri Lanka
Aspidura trachyprocta	Sri Lanka
Hydrophis stokesii	China
Hydrophis stokesii	India
Hydrophis stokesii	Indonesia
Hydrophis stokesii	Pakistan
Hydrophis stokesii	Vietnam
Hydrophis stokesii	Thailand
Hydrophis stokesii	Malaysia
Hydrophis stokesii	Australia
Hydrophis stokesii	Taiwan
Hydrophis stokesii	Sri Lanka
Hydrophis stokesii	Guinea
Atheris acuminata	Uganda
Atheris broadleyi	Nigeria
Atheris broadleyi	Cameroon
Atheris broadleyi	Niger
Atheris broadleyi	Central African Republic
Atheris ceratophora	Tanzania
Atheris chlorechis	Nigeria
Atheris chlorechis	Ghana
Atheris chlorechis	Cameroon
Atheris chlorechis	Ivory Coast
Atheris chlorechis	Niger
Atheris chlorechis	Guinea
Atheris chlorechis	Benin
Atheris chlorechis	Togo
Atheris chlorechis	Sierra Leone
Atheris chlorechis	Liberia
Atheris desaixi	Kenya
Atheris hispida	Democratic Republic of the Congo
Atheris hispida	Tanzania
Atheris hispida	Kenya
Atheris hispida	Uganda
Atheris hispida	Republic of the Congo
Atheris katangensis	Democratic Republic of the Congo
Atheris katangensis	Republic of the Congo
Atheris nitschei	Democratic Republic of the Congo
Atheris nitschei	Tanzania
Atheris nitschei	Uganda
Atheris nitschei	Malawi
Atheris nitschei	Zambia
Atheris nitschei	Rwanda
Atheris nitschei	Burundi
Atheris nitschei	Republic of the Congo
Atheris rungweensis	Tanzania
Atheris rungweensis	Malawi
Atheris rungweensis	Zambia
Atheris squamigera	Democratic Republic of the Congo
Atheris squamigera	Kenya
Atheris squamigera	Uganda
Atheris squamigera	Ghana
Atheris squamigera	Angola
Atheris squamigera	Cameroon
Atheris squamigera	Togo
Atheris squamigera	Central African Republic
Atheris squamigera	Republic of the Congo
Atheris squamigera	Gabon
Atractaspis aterrima	Nigeria
Atractaspis aterrima	Democratic Republic of the Congo
Atractaspis aterrima	Tanzania
Atractaspis aterrima	Uganda
Atractaspis aterrima	Ghana
Atractaspis aterrima	Cameroon
Atractaspis aterrima	Ivory Coast
Atractaspis aterrima	Niger
Atractaspis aterrima	Burkina Faso
Atractaspis aterrima	Mali
